#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.882650E-02   0.121948E+08   0.121870E+08   0.814948E+04   0.814945E+04   0.896057E+07   0.121354E+08   0.121935E+08   0.121354E+08  -0.435083E+00   0.925542E+07   0.925530E+07   0.405069E+01
   0.892512E-02   0.121592E+08   0.121513E+08   0.794606E+04   0.794603E+04   0.890143E+07   0.120993E+08   0.121579E+08   0.120993E+08  -0.433792E+00   0.922811E+07   0.922798E+07   0.408154E+01
   0.902484E-02   0.121233E+08   0.121153E+08   0.774745E+04   0.774742E+04   0.884210E+07   0.120630E+08   0.121220E+08   0.120630E+08  -0.432490E+00   0.920057E+07   0.920044E+07   0.411252E+01
   0.912567E-02   0.120872E+08   0.120789E+08   0.755355E+04   0.755352E+04   0.878257E+07   0.120264E+08   0.120859E+08   0.120264E+08  -0.431178E+00   0.917281E+07   0.917268E+07   0.414362E+01
   0.922763E-02   0.120507E+08   0.120423E+08   0.736426E+04   0.736423E+04   0.872285E+07   0.119895E+08   0.120494E+08   0.119895E+08  -0.429855E+00   0.914482E+07   0.914469E+07   0.417483E+01
   0.933074E-02   0.120140E+08   0.120054E+08   0.717945E+04   0.717942E+04   0.866296E+07   0.119523E+08   0.120126E+08   0.119524E+08  -0.428521E+00   0.911661E+07   0.911648E+07   0.420616E+01
   0.943499E-02   0.119769E+08   0.119682E+08   0.699904E+04   0.699901E+04   0.860288E+07   0.119149E+08   0.119756E+08   0.119149E+08  -0.427178E+00   0.908818E+07   0.908804E+07   0.423760E+01
   0.954041E-02   0.119396E+08   0.119307E+08   0.682292E+04   0.682289E+04   0.854262E+07   0.118771E+08   0.119382E+08   0.118771E+08  -0.425823E+00   0.905952E+07   0.905938E+07   0.426914E+01
   0.964700E-02   0.119020E+08   0.118929E+08   0.665099E+04   0.665096E+04   0.848220E+07   0.118390E+08   0.119005E+08   0.118390E+08  -0.424458E+00   0.903064E+07   0.903050E+07   0.430078E+01
   0.975479E-02   0.118640E+08   0.118548E+08   0.648316E+04   0.648313E+04   0.842160E+07   0.118006E+08   0.118626E+08   0.118006E+08  -0.423082E+00   0.900153E+07   0.900139E+07   0.433252E+01
   0.986378E-02   0.118258E+08   0.118163E+08   0.631933E+04   0.631931E+04   0.836084E+07   0.117620E+08   0.118243E+08   0.117620E+08  -0.421696E+00   0.897219E+07   0.897204E+07   0.436435E+01
   0.997399E-02   0.117873E+08   0.117776E+08   0.615941E+04   0.615939E+04   0.829990E+07   0.117230E+08   0.117857E+08   0.117230E+08  -0.420299E+00   0.894262E+07   0.894248E+07   0.439627E+01
   0.100854E-01   0.117484E+08   0.117386E+08   0.600332E+04   0.600330E+04   0.823879E+07   0.116837E+08   0.117468E+08   0.116837E+08  -0.418891E+00   0.891283E+07   0.891268E+07   0.442826E+01
   0.101981E-01   0.117093E+08   0.116992E+08   0.585096E+04   0.585093E+04   0.817752E+07   0.116442E+08   0.117077E+08   0.116442E+08  -0.417472E+00   0.888280E+07   0.888265E+07   0.446034E+01
   0.103121E-01   0.116698E+08   0.116596E+08   0.570224E+04   0.570222E+04   0.811608E+07   0.116043E+08   0.116682E+08   0.116043E+08  -0.416042E+00   0.885255E+07   0.885239E+07   0.449248E+01
   0.104273E-01   0.116301E+08   0.116196E+08   0.555709E+04   0.555707E+04   0.805447E+07   0.115641E+08   0.116284E+08   0.115641E+08  -0.414602E+00   0.882206E+07   0.882190E+07   0.452469E+01
   0.105438E-01   0.115900E+08   0.115794E+08   0.541542E+04   0.541540E+04   0.799270E+07   0.115236E+08   0.115883E+08   0.115236E+08  -0.413150E+00   0.879134E+07   0.879118E+07   0.455696E+01
   0.106616E-01   0.115496E+08   0.115388E+08   0.527716E+04   0.527714E+04   0.793076E+07   0.114828E+08   0.115479E+08   0.114828E+08  -0.411688E+00   0.876039E+07   0.876022E+07   0.458928E+01
   0.107807E-01   0.115090E+08   0.114979E+08   0.514221E+04   0.514219E+04   0.786866E+07   0.114417E+08   0.115072E+08   0.114417E+08  -0.410214E+00   0.872920E+07   0.872904E+07   0.462164E+01
   0.109012E-01   0.114680E+08   0.114567E+08   0.501052E+04   0.501050E+04   0.780640E+07   0.114003E+08   0.114662E+08   0.114003E+08  -0.408730E+00   0.869778E+07   0.869761E+07   0.465405E+01
   0.110230E-01   0.114267E+08   0.114152E+08   0.488199E+04   0.488197E+04   0.774400E+07   0.113586E+08   0.114248E+08   0.113586E+08  -0.407234E+00   0.866613E+07   0.866595E+07   0.468648E+01
   0.111461E-01   0.113851E+08   0.113733E+08   0.475656E+04   0.475654E+04   0.768144E+07   0.113166E+08   0.113832E+08   0.113166E+08  -0.405728E+00   0.863423E+07   0.863406E+07   0.471894E+01
   0.112707E-01   0.113431E+08   0.113312E+08   0.463416E+04   0.463415E+04   0.761874E+07   0.112743E+08   0.113412E+08   0.112743E+08  -0.404210E+00   0.860210E+07   0.860192E+07   0.475142E+01
   0.113966E-01   0.113009E+08   0.112887E+08   0.451472E+04   0.451470E+04   0.755592E+07   0.112316E+08   0.112990E+08   0.112316E+08  -0.402681E+00   0.856974E+07   0.856955E+07   0.478391E+01
   0.115239E-01   0.112583E+08   0.112459E+08   0.439817E+04   0.439815E+04   0.749297E+07   0.111886E+08   0.112564E+08   0.111886E+08  -0.401140E+00   0.853713E+07   0.853694E+07   0.481640E+01
   0.116527E-01   0.112155E+08   0.112028E+08   0.428444E+04   0.428442E+04   0.742992E+07   0.111454E+08   0.112135E+08   0.111454E+08  -0.399589E+00   0.850428E+07   0.850409E+07   0.484888E+01
   0.117829E-01   0.111723E+08   0.111594E+08   0.417346E+04   0.417345E+04   0.736676E+07   0.111018E+08   0.111702E+08   0.111018E+08  -0.398026E+00   0.847120E+07   0.847100E+07   0.488135E+01
   0.119145E-01   0.111288E+08   0.111156E+08   0.406518E+04   0.406517E+04   0.730352E+07   0.110579E+08   0.111267E+08   0.110579E+08  -0.396452E+00   0.843787E+07   0.843767E+07   0.491379E+01
   0.120476E-01   0.110849E+08   0.110715E+08   0.395953E+04   0.395952E+04   0.724021E+07   0.110137E+08   0.110828E+08   0.110137E+08  -0.394867E+00   0.840430E+07   0.840410E+07   0.494619E+01
   0.121823E-01   0.110408E+08   0.110271E+08   0.385645E+04   0.385644E+04   0.717683E+07   0.109691E+08   0.110386E+08   0.109691E+08  -0.393270E+00   0.837049E+07   0.837028E+07   0.497856E+01
   0.123184E-01   0.109963E+08   0.109824E+08   0.375589E+04   0.375587E+04   0.711340E+07   0.109243E+08   0.109941E+08   0.109243E+08  -0.391662E+00   0.833644E+07   0.833623E+07   0.501086E+01
   0.124560E-01   0.109515E+08   0.109374E+08   0.365777E+04   0.365775E+04   0.704993E+07   0.108791E+08   0.109493E+08   0.108791E+08  -0.390043E+00   0.830214E+07   0.830193E+07   0.504311E+01
   0.125952E-01   0.109064E+08   0.108920E+08   0.356205E+04   0.356203E+04   0.698643E+07   0.108336E+08   0.109041E+08   0.108336E+08  -0.388412E+00   0.826760E+07   0.826738E+07   0.507528E+01
   0.127359E-01   0.108610E+08   0.108463E+08   0.346866E+04   0.346865E+04   0.692292E+07   0.107878E+08   0.108586E+08   0.107878E+08  -0.386770E+00   0.823282E+07   0.823260E+07   0.510736E+01
   0.128782E-01   0.108152E+08   0.108002E+08   0.337757E+04   0.337755E+04   0.685938E+07   0.107417E+08   0.108128E+08   0.107417E+08  -0.385116E+00   0.819779E+07   0.819756E+07   0.513935E+01
   0.130221E-01   0.107691E+08   0.107539E+08   0.328870E+04   0.328869E+04   0.679584E+07   0.106952E+08   0.107667E+08   0.106952E+08  -0.383451E+00   0.816252E+07   0.816229E+07   0.517122E+01
   0.131676E-01   0.107227E+08   0.107072E+08   0.320201E+04   0.320200E+04   0.673230E+07   0.106485E+08   0.107202E+08   0.106485E+08  -0.381774E+00   0.812700E+07   0.812677E+07   0.520298E+01
   0.133147E-01   0.106760E+08   0.106601E+08   0.311745E+04   0.311744E+04   0.666876E+07   0.106014E+08   0.106734E+08   0.106014E+08  -0.380086E+00   0.809124E+07   0.809100E+07   0.523460E+01
   0.134635E-01   0.106289E+08   0.106128E+08   0.303498E+04   0.303496E+04   0.660522E+07   0.105540E+08   0.106263E+08   0.105540E+08  -0.378386E+00   0.805523E+07   0.805499E+07   0.526607E+01
   0.136139E-01   0.105815E+08   0.105651E+08   0.295453E+04   0.295451E+04   0.654170E+07   0.105063E+08   0.105789E+08   0.105063E+08  -0.376675E+00   0.801897E+07   0.801873E+07   0.529738E+01
   0.137660E-01   0.105338E+08   0.105171E+08   0.287606E+04   0.287605E+04   0.647817E+07   0.104582E+08   0.105311E+08   0.104582E+08  -0.374952E+00   0.798247E+07   0.798222E+07   0.532852E+01
